id	name	year	rating	runtime	genre	earnings_rank
104714	Lethal Weapon 3	1992	R	118	A,C,T	\N
104952	My Cousin Vinny	1992	R	120	C	\N
105323	Scent of a Woman	1992	R	157	C,D	\N
105417	Sister Act	1992	PG	100	A,C	\N
105695	Unforgiven	1992	R	131	D,E	\N
101587	City Slickers	1991	PG13	112	V,C,E	\N
101889	Fisher King, The	1991	R	137	C,D,Y,R	\N
102926	Silence of the Lambs, The	1991	R	118	H,T	\N
99685	Goodfellas	1990	R	145	D	\N
100157	Misery	1990	R	107	D,H,T	\N
100486	Reversal of Fortune	1990	R	111	D	\N
100758	Teenage Mutant Ninja Turtles	1990	PG	93	A,F,Y	\N
96969	Born on the Fourth of July	1989	R	145	D,W	\N
97239	Driving Miss Daisy	1989	PG	99	C,D	\N
97441	Glory	1989	R	122	D,W	\N
97523	Honey, I Shrunk the Kids	1989	PG	101	V,C,F,S	\N
97733	Lethal Weapon 2	1989	R	113	A,C,T	\N
97778	Look Who's Talking	1989	PG13	93	C,R	\N
97937	My Left Foot	1989	R	98	D	\N
94606	Accidental Tourist, The	1988	PG	121	D,R	\N
94608	Accused, The	1988	R	111	D,T	\N
95159	Fish Called Wanda, A	1988	R	108	C	\N
96438	Who Framed Roger Rabbit	1988	PG	103	A,N,C,F,Y,T	\N
92644	Beverly Hills Cop II	1987	R	100	A,C	\N
93010	Fatal Attraction	1987	R	123	D,H,T	\N
93389	Last Emperor, The	1987	PG13	160	D	\N
93565	Moonstruck	1987	PG	102	C,R	\N
94226	Untouchables, The	1987	R	119	D	\N
94291	Wall Street	1987	R	125	D	\N
90830	Children of a Lesser God	1986	R	119	D	\N
90863	Color of Money, The	1986	R	119	D	\N
91167	Hannah and Her Sisters	1986	PG13	103	C,D,R	\N
91763	Platoon	1986	R	120	A,D,W	\N
88933	Cocoon	1985	PG13	117	V,C,D,S	\N
89424	Kiss of the Spider Woman	1985	R	120	D	\N
89755	Out of Africa	1985	PG	150	D,R	\N
89841	Prizzi's Honor	1985	R	130	C,D,R	\N
89880	Rambo: First Blood Part II	1985	R	94	A,W	\N
90203	Trip to Bountiful, The	1985	PG	108	D	\N
86879	Amadeus	1984	PG	160	D	\N
87363	Gremlins	1984	PG	106	A,C,Y,H	\N
87553	Killing Fields, The	1984	R	141	D,W	\N
87892	Passage to India, A	1984	PG	163	D	\N
87921	Places in the Heart	1984	PG	112	D	\N
86423	Tender Mercies	1983	PG	92	D	\N
86425	Terms of Endearment	1983	PG	132	C,D,R	\N
83987	Gandhi	1982	PG	188	D	\N
84434	Officer and a Gentleman, An	1982	R	122	D,R	\N
84707	Sophie's Choice	1982	R	150	D	\N
86617	Year of Living Dangerously, The	1982	PG	117	D,R	\N
82031	Arthur	1981	PG	97	C,R	\N
82158	Chariots of Fire	1981	PG	123	D	\N
82846	On Golden Pond	1981	PG	109	D	\N
82979	Reds	1981	PG	194	D	\N
80549	Coal Miner's Daughter	1980	PG	125	D	\N
81150	Melvin and Howard	1980	R	95	C,D	\N
81283	Ordinary People	1980	R	124	D	\N
